J1,J2,J3,J4,J5
0.00000000,0.00000000,0.55073887,-0.00000000,0.22238135
0.00000000,0.00000000,0.50984991,-0.00000000,0.20201182
0.00000000,0.00000000,0.47046167,-0.00000000,0.18251224
0.00000000,0.00000000,0.43257421,-0.00000000,0.16388258
0.00000000,0.00000000,0.39618754,-0.00000000,0.14612287
0.00000000,0.00000000,0.36130163,-0.00000000,0.12923312
0.00000000,0.00000000,0.32791653,-0.00000000,0.11321329
0.00000000,0.00000000,0.29603219,-0.00000000,0.09806341
0.00000000,0.00000000,0.26564860,-0.00000000,0.08378348
0.00000000,0.00000000,0.23676583,-0.00000000,0.07037348
0.00000000,0.00000000,0.20938382,-0.00000000,0.05783343
-0.00000000,0.00000000,0.18350258,-0.00000000,0.04616332
-0.00000000,0.00000000,0.15912212,0.00000000,0.03536315
-0.00000000,-0.00000000,0.13624245,0.00000000,0.02543292
-0.00000000,-0.00000000,0.11486354,0.00000000,0.01637264
-0.00000000,-0.00000000,0.09498542,0.00000000,0.00818230
-0.00000000,-0.00000000,0.07660807,0.00000000,0.00086190
-0.00000000,-0.00000000,0.05973149,0.00000000,-0.00558855
-0.00000000,-0.00000000,0.04435570,0.00000000,-0.01116907
-0.00000000,-0.00000000,0.03048068,0.00000000,-0.01587964
0.00000000,0.00000000,0.01810644,-0.00000000,-0.01972027
0.00000000,0.00000000,0.00496338,-0.00000000,-0.01473085
0.00000000,0.00000000,-0.00229625,-0.00000000,-0.00961015
0.00000000,0.00000000,-0.00735241,-0.00000000,-0.00542618
0.00000000,0.00000000,-0.01057648,-0.00000000,-0.00343156
0.00000000,0.00000000,-0.01247339,-0.00000000,-0.00000000
0.00000000,0.00000000,-0.01369089,-0.00000000,-0.00000000
0.00000000,0.00000000,-0.01503069,-0.00000000,-0.00000000
0.00000000,0.00000000,-0.01238498,-0.00000000,-0.00000000
0.00000000,0.00000000,-0.01011000,-0.00000000,-0.00000000
0.00000000,0.00000000,-0.00930457,-0.00000000,-0.00000000
0.00000000,0.00000000,-0.00617852,-0.00000000,-0.00000000
0.00000000,0.00000000,-0.00542618,-0.00000000,-0.00000000
0.00000000,0.00000000,-0.00343156,-0.00000000,-0.00000000
